,0
0,Cliente já existe: 59126784319 - Nicolas Melo
1,Cliente já existe: 10269475885 - Igor Silveira
2,Cliente já existe: 78253190441 - Henrique da Luz
3,Cliente já existe: 86590237492 - Valentina da Mota
4,Cliente já existe: 17359864291 - Giovanna Cavalcanti
5,Cliente já existe: 05294163870 - Theo da Rosa
6,Cliente já existe: 67312958419 - Srta. Ana Ferreira
7,Cliente já existe: 38451076939 - Mariana Rodrigues
8,Cliente já existe: 59710623443 - Sr. Renan Freitas
9,Cliente já existe: 02587394600 - Larissa da Conceição
10,Cliente já existe: 34072185914 - Antônio Moreira
11,Cliente já existe: 54819362089 - Cecília da Costa
12,Cliente já existe: 89760213559 - Clarice Silva
13,Cliente já existe: 76219458001 - Fernanda das Neves
14,Cliente já existe: 93261478004 - Ana Clara Araújo
15,Cliente já existe: 73845210923 - Dr. Heitor Castro
16,Cliente já existe: 23085971602 - Sofia Costela
17,Cliente já existe: 03168452998 - Olivia Souza
18,Cliente já existe: 39840167278 - Rafaela Gomes
19,Cliente já existe: 79658042392 - Maria Alice Monteiro
20,Cliente já existe: 60541792849 - Dr. Lucca da Rosa
21,Cliente já existe: 17346952006 - Ryan Souza
22,Cliente já existe: 96058742102 - Cauã Lima
23,Cliente já existe: 38490572674 - Sra. Sarah Oliveira
24,Cliente já existe: 38147620969 - Dra. Ana Lívia Rodrigues
25,Cliente já existe: 12634058942 - Luana Cunha
26,Cliente já existe: 43891257619 - Henrique Dias
27,Cliente já existe: 93278605438 - Stephany Martins
28,Cliente já existe: 57680932140 - Igor da Paz
29,Cliente já existe: 12456730925 - Matheus Carvalho
30,Cliente já existe: 13256847919 - Heitor Ribeiro
31,Cliente já existe: 07524189397 - Breno Mendes
32,Cliente já existe: 61987402340 - Heitor Pereira
33,Cliente já existe: 19780542620 - Erick Dias
34,Cliente já existe: 03258967121 - Clarice da Cunha
35,Cliente já existe: 57483296038 - Ana Luiza Almeida
36,Cliente já existe: 41593728050 - Dra. Maria Vitória da Conceição
37,Cliente já existe: 68429301704 - Marcela Campos
38,Cliente já existe: 76429301869 - Giovanna Rodrigues
39,Cliente já existe: 90714568384 - Pietro Nunes
40,Cliente já existe: 52876013959 - João Gabriel Rodrigues
41,Cliente já existe: 31672584973 - Marcos Vinicius Castro
42,Cliente já existe: 94651780393 - Luigi da Conceição
43,Cliente já existe: 97524103670 - Henrique Teixeira
44,Cliente já existe: 86230471507 - Sr. Joaquim Peixoto
45,Cliente já existe: 94860172558 - Olivia Barbosa
46,Cliente já existe: 38942607500 - Dra. Yasmin Melo
47,Cliente já existe: 46819075375 - Isabelly Gomes
48,Cliente já existe: 14098673584 - Gustavo Henrique Duarte
49,Cliente já existe: 58437691273 - Daniel das Neves
50,Cliente já existe: 48257913014 - Emilly Silva
51,Cliente já existe: 71548603244 - Bernardo Ribeiro
52,Cliente já existe: 34826175973 - Ana Laura das Neves
53,Cliente já existe: 07819365439 - Agatha Caldeira
54,Cliente já existe: 61239750803 - Dr. Luiz Otávio Lopes
55,Cliente já existe: 21630895768 - Dr. Luigi Barros
56,Cliente já existe: 15623047980 - Catarina Ferreira
57,Cliente já existe: 58341279673 - Bryan Ribeiro
58,Cliente já existe: 68753102959 - Luiz Miguel Costa
59,Cliente já existe: 69045817357 - Yago Freitas
60,Cliente já existe: 01356784208 - Dr. Enrico Fogaça
61,Cliente já existe: 14976582094 - Laura da Cunha
62,Cliente já existe: 25103978423 - Helena Cavalcanti
63,Cliente já existe: 95701286401 - Dr. André Pinto
64,Cliente já existe: 64019572399 - Sophia Costela
65,Cliente já existe: 95182706430 - Enzo Gabriel Azevedo
66,Cliente já existe: 32697510443 - Ana Laura Nascimento
67,Cliente já existe: 04582937179 - Gabriel Monteiro
68,Cliente já existe: 39682704103 - Alexia Aragão
69,Cliente já existe: 47163802544 - Yasmin Almeida
70,Cliente já existe: 56837419048 - Sra. Isabella Peixoto
71,Cliente já existe: 35679801221 - Igor Duarte
72,Cliente já existe: 90361524706 - Ana Lívia Souza
73,Cliente já existe: 92603857177 - Vicente Teixeira
74,Cliente já existe: 19536847000 - Enrico Correia
