,0
0,Cliente já existe: 56429013898 - Srta. Lívia Garcia
1,Cliente já existe: 89741563000 - Maitê Cardoso
2,Cliente já existe: 68301549793 - Dra. Mariah da Paz
3,Cliente já existe: 34587096229 - Maria Clara Campos
4,Cliente já existe: 97062843113 - Sra. Juliana Caldeira
5,Cliente já existe: 26437851937 - Arthur Miguel Almeida
6,Cliente já existe: 68532791077 - Eloá Pastor
7,Cliente já existe: 82753041997 - Larissa Casa Grande
8,Cliente já existe: 94638075274 - Maria Cassiano
9,Cliente já existe: 50862371902 - Maria Sophia Sousa
10,Cliente já existe: 59146782001 - Sofia Monteiro
11,Cliente já existe: 50318697203 - Mariah Fernandes
12,Cliente já existe: 10573946884 - Allana da Luz
13,Cliente já existe: 92064137831 - Amanda Campos
14,Cliente já existe: 02531648771 - Lavínia Albuquerque
15,Cliente já existe: 80647195267 - Maria Júlia Cavalcante
16,Cliente já existe: 02865197395 - Luiza Araújo
17,Cliente já existe: 82314095642 - Rebeca das Neves
18,Cliente já existe: 31650784244 - Ravi Lucca Casa Grande
19,Cliente já existe: 42890715620 - Amanda Oliveira
20,Cliente já existe: 51397268409 - Alana Cardoso
21,Cliente já existe: 15682743946 - Olívia Souza
22,Cliente já existe: 26531980702 - Alexandre da Costa
23,Cliente já existe: 75632418090 - Isis Almeida
24,Cliente já existe: 47305126853 - Sr. Luiz Fernando das Neves
25,Cliente já existe: 62073459161 - Vitor Hugo Vargas
26,Cliente já existe: 59278403610 - Dr. Joaquim Viana
27,Cliente já existe: 09356427810 - Heloisa Martins
28,Cliente já existe: 16703985286 - Bruno Moreira
29,Cliente já existe: 73860591240 - Anthony Machado
30,Cliente já existe: 08154326906 - Renan das Neves
31,Cliente já existe: 89732160403 - Eloá Ferreira
32,Cliente já existe: 24901785397 - Gael Campos
33,Cliente já existe: 74569321828 - Sr. Dante Peixoto
34,Cliente já existe: 86902314551 - Sara Araújo
35,Cliente já existe: 96185320460 - Luiz Gustavo Costa
36,Cliente já existe: 91604528389 - Pedro da Mota
37,Cliente já existe: 82159374628 - Anthony Gabriel Andrade
38,Cliente já existe: 83745062108 - Maria Vitória Costa
39,Cliente já existe: 70415328608 - Maria Júlia Sá
40,Cliente já existe: 97863140501 - Luna Martins
41,Cliente já existe: 58219346051 - Benício Lima
42,Cliente já existe: 98174036296 - Maria Laura da Rocha
43,Cliente já existe: 27846105353 - Maria Sophia Sampaio
44,Cliente já existe: 91637082568 - Sra. Maria Helena Pinto
45,Cliente já existe: 36910452860 - Aurora Moura
46,Cliente já existe: 06241579380 - Srta. Maria Júlia Ferreira
47,Cliente já existe: 97108234696 - Milena Brito
48,Cliente já existe: 97412503804 - Sofia Fogaça
49,Cliente já existe: 95874136282 - Josué Monteiro
50,Cliente já existe: 03251847988 - Pedro Castro
51,Cliente já existe: 29316478022 - João Vitor Borges
52,Cliente já existe: 32607148987 - Caroline Lima
53,Cliente já existe: 15876249076 - Yago Costela
54,Cliente já existe: 19726583012 - Arthur Miguel Mendonça
55,Cliente já existe: 82916473050 - Lavínia Castro
56,Cliente já existe: 09546218324 - Hadassa Pacheco
57,Cliente já existe: 59783641255 - Yuri Caldeira
58,Cliente já existe: 40861297369 - Mathias Costela
59,Cliente já existe: 75364890210 - Sra. Maria Fernanda Fonseca
60,Cliente já existe: 35890241605 - Luana Nogueira
61,Cliente já existe: 16240837903 - Marcos Vinicius Cavalcante
62,Cliente já existe: 83067452992 - Olivia Camargo
63,Cliente já existe: 90421563842 - Dr. Bryan Fonseca
64,Cliente já existe: 62547830108 - Breno Pastor
65,Cliente já existe: 71093652470 - Dr. Daniel Farias
66,Cliente já existe: 29386740583 - Otto Garcia
67,Cliente já existe: 01983765295 - Amanda Aragão
68,Cliente já existe: 67813495209 - Srta. Rebeca da Cunha
69,Cliente já existe: 27593104850 - Dra. Alana da Rosa
70,Cliente já existe: 83209567140 - Antony Moreira
71,Cliente já existe: 57104628371 - Pedro Lucas Ramos
72,Cliente já existe: 56341270844 - Antônio Souza
73,Cliente já existe: 72593681446 - Sra. Nina Silva
74,Cliente já existe: 85160729321 - Igor Correia
75,Cliente já existe: 21908473622 - Sra. Isadora Oliveira
76,Cliente já existe: 07695412830 - Maria Flor Borges
77,Cliente já existe: 67354198048 - Sra. Lorena Lopes
78,Cliente já existe: 36475021890 - Caroline Camargo
79,Cliente já existe: 52094387160 - Maria Fernanda Moura
80,Cliente já existe: 53249076856 - Thomas da Cunha
81,Cliente já existe: 52493107888 - Dr. Davi Sampaio
82,Cliente já existe: 07419658366 - Diego Rocha
83,Cliente já existe: 82093615460 - Kevin Andrade
84,Cliente já existe: 19837420669 - Lucas Novaes
85,Cliente já existe: 45602839747 - Bella Lopes
86,Cliente já existe: 39054128615 - Liam da Cruz
87,Cliente já existe: 68097243113 - Asafe Rezende
88,Cliente já existe: 27601438996 - Isabela Farias
89,Cliente já existe: 03817465939 - Luísa Martins
90,Cliente já existe: 04571632916 - Stephany Ferreira
91,Cliente já existe: 71834250960 - Ana Júlia Vargas
92,Cliente já existe: 54631297891 - Bruna Carvalho
93,Cliente já existe: 58294106305 - Théo Rios
94,Cliente já existe: 12369740850 - Juan Macedo
95,Cliente já existe: 45271036952 - Dra. Nina Casa Grande
96,Cliente já existe: 24378016931 - Josué Vasconcelos
97,Cliente já existe: 90564821306 - Evelyn Fogaça
98,Cliente já existe: 80467123969 - Asafe Novais
99,Cliente já existe: 53879624038 - Luiz Henrique Marques
100,Cliente já existe: 48397025600 - Sr. Vitor Ferreira
101,Cliente já existe: 63089721503 - Maria Laura Cassiano
102,Cliente já existe: 81534907297 - Sr. Arthur Gabriel Sampaio
103,Cliente já existe: 25463097143 - Sarah Dias
104,Cliente já existe: 60852439792 - Anthony Nogueira
105,Cliente já existe: 39120874588 - Brenda Costa
106,Cliente já existe: 94312076804 - Maria Laura Vieira
107,Cliente já existe: 40876329547 - Ravi Araújo
108,Cliente já existe: 34601985242 - Dr. Ravi Lucca Monteiro
109,Cliente já existe: 97201468340 - Mateus Ferreira
110,Cliente já existe: 80932165702 - Cecilia da Rocha
111,Cliente já existe: 97152438609 - Sarah Rocha
112,Cliente já existe: 84052693124 - Gabriela da Rocha
113,Cliente já existe: 57908312497 - Ana Sophia Cunha
114,Cliente já existe: 86739105448 - Fernando da Luz
115,Cliente já existe: 06194875267 - Dante Duarte
116,Cliente já existe: 21096578476 - Igor Mendes
117,Cliente já existe: 18609723577 - Lucca Castro
118,Cliente já existe: 94230186533 - Luna Fonseca
119,Cliente já existe: 23470685126 - Mariah Azevedo
120,Cliente já existe: 89610742378 - Erick Melo
121,Cliente já existe: 83254976029 - Gustavo Costa
122,Cliente já existe: 96571234882 - Kevin Mendonça
123,Cliente já existe: 71526490811 - Maria Júlia Sousa
124,Cliente já existe: 69532147080 - Matheus da Luz
125,Cliente já existe: 73014829650 - Diego Porto
126,Cliente já existe: 78612495300 - Nicolas Cardoso
127,Cliente já existe: 98513407666 - Dr. Luiz Felipe Moura
128,Cliente já existe: 76419305225 - Lavínia Barros
129,Cliente já existe: 52460789300 - Maria Sophia Sousa
130,Cliente já existe: 32604759152 - Evelyn Caldeira
131,Cliente já existe: 82765914001 - Sr. Francisco Castro
132,Cliente já existe: 27618943591 - Vitor Gabriel Viana
133,Cliente já existe: 82671503903 - Sr. Gael Casa Grande
134,Cliente já existe: 74351608900 - Milena Siqueira
135,Cliente já existe: 91653072830 - Benjamin Barbosa
136,Cliente já existe: 26710958302 - Dra. Caroline Leão
137,Cliente já existe: 18759624337 - Sabrina Azevedo
138,Cliente já existe: 82963740131 - Kamilly Araújo
139,Cliente já existe: 71290835659 - Emanuella Nogueira
140,Cliente já existe: 10387652930 - Maria Vitória Alves
141,Cliente já existe: 79165234855 - Nina Câmara
142,Cliente já existe: 35716048900 - Luiz Felipe Farias
143,Cliente já existe: 98507264310 - Henry Gabriel Silva
144,Cliente já existe: 52386794164 - Srta. Beatriz Pinto
145,Cliente já existe: 76498235047 - Sr. Antony Sousa
146,Cliente já existe: 01957264306 - Maria Laura Rodrigues
147,Cliente já existe: 13720546934 - Rebeca da Mota
148,Cliente já existe: 12704856362 - Maria Julia Gonçalves
149,Cliente já existe: 52743081988 - Guilherme Novais
150,Cliente já existe: 47852031960 - Sophie Moraes
151,Cliente já existe: 52196043842 - Sr. Oliver Moraes
152,Cliente já existe: 79806152395 - Davi Lucca Jesus
153,Cliente já existe: 75396401206 - Maria Laura Teixeira
154,Cliente já existe: 47528316946 - Alexia Rezende
155,Cliente já existe: 74398516093 - Pietra Carvalho
156,Cliente já existe: 72685140930 - Allana Pastor
157,Cliente já existe: 49028736131 - Dom Pires
158,Cliente já existe: 49031682551 - Yan Azevedo
159,Cliente já existe: 53710286417 - Ana Vitória Duarte
160,Cliente já existe: 18560394206 - Vitória Pacheco
161,Cliente já existe: 81946350206 - Ana Clara Viana
162,Cliente já existe: 19768435020 - Clara Camargo
163,Cliente já existe: 65104837262 - Dra. Sara Sousa
164,Cliente já existe: 18703549232 - Maria Luísa Albuquerque
165,Cliente já existe: 03789462500 - Joaquim Ferreira
166,Cliente já existe: 40371985684 - Sr. Antony Machado
167,Cliente já existe: 62840971313 - Caleb Lopes
168,Cliente já existe: 38715209695 - Dra. Sophia Nogueira
169,Cliente já existe: 56840729338 - Rebeca Fernandes
170,Cliente já existe: 17502963812 - Lorena Dias
171,Cliente já existe: 94825710379 - Luan Ribeiro
172,Cliente já existe: 83527190414 - Cecilia da Conceição
173,Cliente já existe: 12873094613 - Ana Carolina Martins
174,Cliente já existe: 70893425141 - Matteo das Neves
175,Cliente já existe: 74306829103 - Sra. Maria Júlia Sá
176,Cliente já existe: 68095143766 - Anthony Gabriel Cardoso
177,Cliente já existe: 51738269086 - Milena Moreira
178,Cliente já existe: 21698574002 - Ryan Lima
179,Cliente já existe: 02965384189 - Bento Leão
180,Cliente já existe: 64928513746 - Ana Clara Borges
181,Cliente já existe: 86193075259 - Theo Garcia
182,Cliente já existe: 93850764265 - Maria Flor Oliveira
183,Cliente já existe: 72609514352 - Dra. Agatha Almeida
184,Cliente já existe: 85091732659 - Maria Eduarda Rodrigues
185,Cliente já existe: 36895274146 - Danilo Cassiano
186,Cliente já existe: 21347895655 - Gustavo Henrique da Mota
187,Cliente já existe: 57961834001 - Igor Sousa
188,Cliente já existe: 96250417885 - Evelyn Correia
189,Cliente já existe: 65978320438 - Carlos Eduardo Cavalcante
190,Cliente já existe: 01923647580 - Gustavo Henrique Gomes
191,Cliente já existe: 30129687502 - Ravy Farias
192,Cliente já existe: 41839257032 - Dra. Alícia Freitas
193,Cliente já existe: 90637542800 - Vitor Martins
194,Cliente já existe: 28691430796 - Maria Flor Pinto
195,Cliente já existe: 80961542306 - Sr. Brayan Campos
196,Cliente já existe: 75831420914 - Manuella Nascimento
197,Cliente já existe: 13456097280 - Dr. Thales da Mota
198,Cliente já existe: 28915340779 - João Pedro Rodrigues
199,Cliente já existe: 38251649773 - Natália Sousa
200,Cliente já existe: 43720986187 - Srta. Mariana Guerra
201,Cliente já existe: 65871429076 - Maria Clara Alves
202,Cliente já existe: 45109726876 - Alice Fernandes
203,Cliente já existe: 69827314564 - Kevin da Costa
204,Cliente já existe: 75384160993 - Sra. Aurora Montenegro
205,Cliente já existe: 97024581611 - Luiz Miguel Ramos
206,Cliente já existe: 34256890106 - Maitê Rocha
207,Cliente já existe: 86301794575 - Pedro Lucas Abreu
208,Cliente já existe: 84657029185 - João Gabriel Mendonça
209,Cliente já existe: 36108572426 - Maria Eduarda Mendonça
210,Cliente já existe: 76319582030 - Olívia Ribeiro
211,Cliente já existe: 68591074300 - Pedro Cavalcante
212,Cliente já existe: 61952804701 - Julia das Neves
213,Cliente já existe: 97084615202 - Ana Laura Pacheco
214,Cliente já existe: 15907623802 - Ester Cassiano
215,Cliente já existe: 52973140897 - Jade Rios
216,Cliente já existe: 34610729580 - Benicio Borges
217,Cliente já existe: 34679085193 - Yan Melo
218,Cliente já existe: 64572910820 - Sofia Borges
219,Cliente já existe: 19280475649 - Luana Mendes
220,Cliente já existe: 05718246920 - Milena da Rosa
221,Cliente já existe: 78513024635 - Breno da Luz
222,Cliente já existe: 40826793169 - José Miguel Monteiro
223,Cliente já existe: 60987321404 - Antony Rocha
224,Cliente já existe: 98702431505 - Lucas Gabriel Cavalcanti
225,Cliente já existe: 51479602876 - Kamilly Almeida
226,Cliente já existe: 17859460211 - Bella Cardoso
227,Cliente já existe: 65792084300 - Pedro Lucas Oliveira
228,Cliente já existe: 64027539125 - Pietro Silva
229,Cliente já existe: 61859230768 - Sr. Marcos Vinicius Pacheco
230,Cliente já existe: 89637510400 - Arthur Gabriel Lima
231,Cliente já existe: 63741059234 - Brayan Freitas
232,Cliente já existe: 59213760868 - Joaquim Cirino
233,Cliente já existe: 62305894198 - Isaque Pinto
234,Cliente já existe: 05968431784 - Antony Moraes
235,Cliente já existe: 14893065793 - Pedro Lucas Gomes
236,Cliente já existe: 25376018407 - Bella Viana
237,Cliente já existe: 69078512458 - Alice Dias
238,Cliente já existe: 81490635289 - Srta. Sofia Ferreira
239,Cliente já existe: 17453290805 - Alexia Ramos
240,Cliente já existe: 07134869539 - Lavínia Castro
241,Cliente já existe: 64578032108 - Ísis Aragão
242,Cliente já existe: 38529670159 - Antony Borges
243,Cliente já existe: 84756201911 - Pedro Porto
244,Cliente já existe: 59487123628 - Beatriz Jesus
245,Cliente já existe: 12609354851 - Srta. Maria Júlia Melo
246,Cliente já existe: 37952180479 - Stella Sá
247,Cliente já existe: 78039426529 - Enrico Siqueira
248,Cliente já existe: 39027186413 - Heloisa Viana
249,Cliente já existe: 28614970331 - Thomas Teixeira
250,Cliente já existe: 45809163289 - Sr. Luiz Miguel Pimenta
251,Cliente já existe: 34592687000 - Isabel Garcia
252,Cliente já existe: 86034251915 - Valentim da Rocha
253,Cliente já existe: 68253901712 - Manuella da Mota
254,Cliente já existe: 08371946287 - Dra. Maitê Costa
255,Cliente já existe: 18543920698 - Erick Borges
256,Cliente já existe: 85923170612 - Luan da Mota
257,Cliente já existe: 97531628473 - Luiz Fernando Cardoso
258,Cliente já existe: 82746395100 - Stephany Sales
259,Cliente já existe: 12365049761 - Dr. Murilo Correia
260,Cliente já existe: 30168547244 - Sr. Vitor Gomes
261,Cliente já existe: 20964385198 - Fernando Rios
262,Cliente já existe: 50186942389 - Vitória Silva
263,Cliente já existe: 28197064369 - Giovanna Machado
264,Cliente já existe: 43786150966 - Josué Vieira
265,Cliente já existe: 58623097483 - Arthur Miguel Mendonça
266,Cliente já existe: 35614870253 - Emanuel Viana
267,Cliente já existe: 65834197000 - Ana Liz Dias
268,Cliente já existe: 39462587000 - Maya Pinto
269,Cliente já existe: 57631298491 - Srta. Bárbara Alves
270,Cliente já existe: 42670359116 - Dr. Vitor Hugo Gonçalves
271,Cliente já existe: 43986150242 - Dom Cunha
272,Cliente já existe: 91260735443 - Vinicius Leão
273,Cliente já existe: 43571680235 - Srta. Alícia Silveira
274,Cliente já existe: 17583690277 - Lorenzo Cassiano
275,Cliente já existe: 26785493137 - Bryan Casa Grande
276,Cliente já existe: 59481362728 - João Miguel Melo
277,Cliente já existe: 45129863755 - Dra. Ana Cecília da Mota
278,Cliente já existe: 94107682501 - Beatriz Costa
279,Cliente já existe: 28503196433 - Lorena Cirino
280,Cliente já existe: 85906124306 - Enzo da Rosa
281,Cliente já existe: 69502713877 - Vitor da Paz
282,Cliente já existe: 94521708676 - Fernanda Rocha
283,Cliente já existe: 61579304893 - João Miguel Barros
284,Cliente já existe: 62704935874 - João Guilherme Silva
285,Cliente já existe: 05164792370 - Lucca Barros
286,Cliente já existe: 26104359752 - Brayan Pinto
287,Cliente já existe: 65431097857 - Dra. Olívia da Mata
288,Cliente já existe: 61350849766 - Heloisa da Mata
289,Cliente já existe: 74852013608 - Melina Fernandes
290,Cliente já existe: 65073189493 - Dr. Felipe Duarte
291,Cliente já existe: 70463152808 - Sra. Catarina Pereira
292,Cliente já existe: 69830742547 - Luana Duarte
293,Cliente já existe: 08942153615 - Caroline Cardoso
294,Cliente já existe: 24906318703 - Breno Sales
295,Cliente já existe: 90782631487 - Alice Silva
296,Cliente já existe: 52710638959 - Ravi Lucca Sá
297,Cliente já existe: 19857430279 - Isabelly Fonseca
298,Cliente já existe: 79528304656 - Srta. Luara Fonseca
299,Cliente já existe: 51093267461 - Ana Luiza Casa Grande
