,0
0,Contato (Telefone) é inválido para Srta. Lívia Garcia
1,Contato (Celular) é inválido para Srta. Lívia Garcia
2,Contato (E-Mail) já existe para Srta. Lívia Garcia: rafael03@freitas.com
3,Contato (Telefone) é inválido para Maitê Cardoso
4,Contato (Celular) é inválido para Maitê Cardoso
5,Contato (E-Mail) já existe para Maitê Cardoso: carvalhokaique@caldeira.org
6,Contato (Telefone) é inválido para Dra. Mariah da Paz
7,Contato (Celular) é inválido para Dra. Mariah da Paz
8,Contato (E-Mail) já existe para Dra. Mariah da Paz: mariateixeira@uol.com.br
9,Contato (Telefone) já existe para Maria Clara Campos: +55 81 91209-2768
10,Contato (Celular) é inválido para Maria Clara Campos
11,Contato (E-Mail) já existe para Maria Clara Campos: znunes@yahoo.com.br
12,Contato (Telefone) nulo para Sra. Juliana Caldeira
13,Contato (Celular) é inválido para Sra. Juliana Caldeira
14,Contato (E-Mail) já existe para Sra. Juliana Caldeira: julia86@castro.org
15,Contato (Telefone) é inválido para Arthur Miguel Almeida
16,Contato (Celular) é inválido para Arthur Miguel Almeida
17,Contato (E-Mail) já existe para Arthur Miguel Almeida: qnovaes@carvalho.com
18,Contato (Telefone) nulo para Eloá Pastor
19,Contato (Celular) é inválido para Eloá Pastor
20,Contato (E-Mail) já existe para Eloá Pastor: freitasana-julia@da.com
21,Contato (Telefone) já existe para Larissa Casa Grande: +55 61 94272-0582
22,Contato (Celular) é inválido para Larissa Casa Grande
23,Contato (E-Mail) já existe para Larissa Casa Grande: scardoso@novaes.net
24,Contato (Telefone) é inválido para Maria Cassiano
25,Contato (Celular) é inválido para Maria Cassiano
26,Contato (E-Mail) já existe para Maria Cassiano: jnunes@gmail.com
27,Contato (Telefone) é inválido para Maria Sophia Sousa
28,Contato (Celular) já existe para Maria Sophia Sousa: +55 51 99231-9636
29,Contato (E-Mail) já existe para Maria Sophia Sousa: das-nevesbenjamin@yahoo.com.br
30,Contato (Telefone) é inválido para Sofia Monteiro
31,Contato (Celular) é inválido para Sofia Monteiro
32,Contato (E-Mail) já existe para Sofia Monteiro: jesusnoah@cardoso.br
33,Contato (Telefone) nulo para Mariah Fernandes
34,Contato (Celular) é inválido para Mariah Fernandes
35,Contato (E-Mail) já existe para Mariah Fernandes: da-matalorenzo@da.br
36,Contato (Telefone) nulo para Allana da Luz
37,Contato (Celular) já existe para Allana da Luz: +55 21 91136-1378
38,Contato (E-Mail) já existe para Allana da Luz: almeidastephany@dias.com
39,Contato (Telefone) já existe para Amanda Campos: +55 51 92586-0902
40,Contato (Celular) é inválido para Amanda Campos
41,Contato (E-Mail) já existe para Amanda Campos: jda-rocha@fogaca.br
42,Contato (Telefone) é inválido para Lavínia Albuquerque
43,Contato (Celular) é inválido para Lavínia Albuquerque
44,Contato (E-Mail) já existe para Lavínia Albuquerque: novaesagatha@freitas.net
45,Contato (Telefone) nulo para Maria Júlia Cavalcante
46,Contato (Celular) é inválido para Maria Júlia Cavalcante
47,Contato (E-Mail) já existe para Maria Júlia Cavalcante: maria-fernanda14@gmail.com
48,Contato (Telefone) nulo para Luiza Araújo
49,Contato (Celular) já existe para Luiza Araújo: +55 61 95184-1646
50,Contato (E-Mail) já existe para Luiza Araújo: luizada-cunha@yahoo.com.br
51,Contato (Telefone) é inválido para Rebeca das Neves
52,Contato (Celular) já existe para Rebeca das Neves: +55 41 95246-6540
53,Contato (E-Mail) já existe para Rebeca das Neves: gdias@barbosa.br
54,Contato (Telefone) é inválido para Ravi Lucca Casa Grande
55,Contato (Celular) é inválido para Ravi Lucca Casa Grande
56,Contato (E-Mail) já existe para Ravi Lucca Casa Grande: vmoraes@hotmail.com
57,Contato (Telefone) é inválido para Amanda Oliveira
58,Contato (Celular) é inválido para Amanda Oliveira
59,Contato (E-Mail) nulo para Amanda Oliveira
60,Contato (Telefone) é inválido para Alana Cardoso
61,Contato (Celular) é inválido para Alana Cardoso
62,Contato (E-Mail) já existe para Alana Cardoso: valentinamartins@ig.com.br
63,Contato (Telefone) é inválido para Olívia Souza
64,Contato (Celular) é inválido para Olívia Souza
65,Contato (E-Mail) já existe para Olívia Souza: joao-felipe58@nogueira.br
66,Contato (Telefone) é inválido para Alexandre da Costa
67,Contato (Celular) é inválido para Alexandre da Costa
68,Contato (E-Mail) já existe para Alexandre da Costa: da-luzraquel@hotmail.com
69,Contato (Telefone) nulo para Isis Almeida
70,Contato (Celular) é inválido para Isis Almeida
71,Contato (E-Mail) já existe para Isis Almeida: pcorreia@gmail.com
72,Contato (Telefone) é inválido para Sr. Luiz Fernando das Neves
73,Contato (Celular) já existe para Sr. Luiz Fernando das Neves: +55 81 93871-9431
74,Contato (E-Mail) já existe para Sr. Luiz Fernando das Neves: luana53@gmail.com
75,Contato (Telefone) é inválido para Vitor Hugo Vargas
76,Contato (Celular) é inválido para Vitor Hugo Vargas
77,Contato (E-Mail) já existe para Vitor Hugo Vargas: ada-mata@fogaca.net
78,Contato (Telefone) é inválido para Dr. Joaquim Viana
79,Contato (Celular) é inválido para Dr. Joaquim Viana
80,Contato (E-Mail) já existe para Dr. Joaquim Viana: fogacabenjamin@hotmail.com
81,Contato (Telefone) é inválido para Heloisa Martins
82,Contato (Celular) nulo para Heloisa Martins
83,Contato (E-Mail) já existe para Heloisa Martins: henrique89@souza.br
84,Contato (Telefone) é inválido para Bruno Moreira
85,Contato (Celular) é inválido para Bruno Moreira
86,Contato (E-Mail) já existe para Bruno Moreira: kteixeira@hotmail.com
87,Contato (Telefone) nulo para Anthony Machado
88,Contato (Celular) é inválido para Anthony Machado
89,Contato (E-Mail) já existe para Anthony Machado: sfreitas@cunha.br
90,Contato (Telefone) nulo para Renan das Neves
91,Contato (Celular) é inválido para Renan das Neves
92,Contato (E-Mail) já existe para Renan das Neves: maria-alice80@uol.com.br
93,Contato (Telefone) é inválido para Eloá Ferreira
94,Contato (Celular) é inválido para Eloá Ferreira
95,Contato (E-Mail) já existe para Eloá Ferreira: vitoriamonteiro@bol.com.br
96,Contato (Telefone) é inválido para Gael Campos
97,Contato (Celular) é inválido para Gael Campos
98,Contato (E-Mail) já existe para Gael Campos: ana-vitoria61@uol.com.br
99,Contato (Telefone) nulo para Sr. Dante Peixoto
100,Contato (Celular) é inválido para Sr. Dante Peixoto
101,Contato (E-Mail) já existe para Sr. Dante Peixoto: brendada-rosa@cavalcanti.com
102,Contato (Telefone) é inválido para Sara Araújo
103,Contato (Celular) é inválido para Sara Araújo
104,Contato (E-Mail) já existe para Sara Araújo: novaesjoao@bol.com.br
105,Contato (Telefone) nulo para Luiz Gustavo Costa
